id,amount,category,region
215,1742.55,furniture,east
216,354.09,groceries,north
217,4249.38,furniture,north
218,2173.28,groceries,west
219,3539.47,furniture,south
220,3671.64,groceries,central
221,4042.91,sports,west
222,2329.72,sports,east
223,1618.3,clothing,north
224,1401.85,furniture,south
225,3754.88,sports,central
226,3344.26,groceries,north
227,2476.59,groceries,south
228,2442.87,groceries,east
229,1708.29,sports,east
230,2783.4,sports,south
231,437.21,furniture,west
232,2780.33,clothing,west
233,3233.06,furniture,west
234,3966.74,electronics,east
235,1115.77,clothing,east
236,3323.16,groceries,west
237,2771.83,groceries,west
238,4983.19,sports,east
239,1765.53,furniture,east
240,1540.05,clothing,north
241,3609.21,groceries,north
242,3716.98,clothing,south
243,1089.76,furniture,east
244,3625.68,sports,central
245,1422.16,electronics,south
246,1488.27,groceries,south
247,1518.32,sports,south
248,1378.81,electronics,central
249,1467.76,clothing,west
250,521.91,electronics,central
251,1428.85,furniture,west
252,1710.12,electronics,east
253,4705.91,furniture,north
254,4112.36,furniture,west
255,379.67,electronics,south
256,754.5,sports,east
257,435.05,clothing,north
258,2794.78,furniture,central
259,2984.67,sports,south
260,3880.71,furniture,west
261,4543.44,groceries,central
262,4950.26,groceries,central
263,3108.93,sports,north
264,4738.48,clothing,south
265,1330.58,electronics,south
266,1206.93,sports,north
267,791.1,furniture,west
268,3449.96,furniture,east
269,172.87,groceries,east
270,3517.91,furniture,north
271,3440.05,groceries,central
272,3309.3,clothing,west
273,582.73,clothing,south
274,4542.97,clothing,north
275,307.59,groceries,central
276,3747.3,sports,east
277,2201.38,furniture,east
278,3501.67,groceries,central
279,2704.51,furniture,north
280,2994.2,furniture,east
281,3022.53,electronics,north
282,1152.33,sports,central
283,4754.42,groceries,central
284,210.76,clothing,west
285,2599.63,furniture,east
286,915.63,sports,west
287,3177.58,furniture,north
288,2355.35,furniture,east
289,1612.08,electronics,south
290,1655.72,furniture,east
291,3316.29,furniture,central
292,193.12,electronics,east
293,1269.47,electronics,west
294,4325.9,electronics,central
295,2315.26,electronics,south
296,2597.01,sports,west
297,3130.79,electronics,south
298,1342.61,clothing,east
299,2196.2,furniture,north
300,154.06,sports,south
301,3551.82,groceries,central
302,78.24,furniture,north
303,1131.26,electronics,west
304,4735.83,clothing,west
305,4663.94,groceries,central
306,3530.0,furniture,west
307,4901.42,clothing,west
308,2760.81,furniture,south
309,4610.12,sports,south
310,4321.49,groceries,west
311,1705.98,sports,east
312,4104.54,groceries,east
313,4189.0,sports,west
314,4327.65,furniture,central
315,2426.86,groceries,central
316,3816.73,furniture,west
317,4664.93,clothing,south
318,2863.27,clothing,west
319,227.8,furniture,west
320,1936.53,clothing,west
321,4824.47,clothing,central
322,4827.11,groceries,north
323,4372.21,furniture,north
324,2634.5,furniture,north
325,3614.99,furniture,south
326,383.39,groceries,east
327,3120.06,furniture,north
328,4260.31,sports,west
329,4771.16,furniture,central
330,189.14,electronics,south
331,3159.49,groceries,south
332,3736.36,furniture,north
333,3804.24,electronics,west
334,840.16,groceries,north
335,239.49,electronics,east
336,1798.73,furniture,south
337,1228.55,furniture,central
338,3412.18,clothing,south
339,883.6,sports,west
340,3102.35,clothing,west
341,4565.02,clothing,south
342,2311.14,groceries,west
343,1284.08,electronics,west
344,4507.04,sports,south
345,378.57,groceries,central
346,1502.78,furniture,east
347,2289.61,groceries,south
348,4996.87,furniture,north
349,1193.66,sports,east
350,2878.31,groceries,north
351,4889.94,furniture,east
352,50.41,electronics,central
353,3728.41,groceries,south
354,3039.25,groceries,south
355,3186.72,sports,east
356,3392.04,clothing,north
357,4517.98,electronics,east
358,3945.17,electronics,central
359,1830.66,clothing,north
360,4549.04,groceries,west
361,886.44,clothing,central
362,4383.54,groceries,central
363,2513.96,groceries,south
364,1292.28,furniture,east
365,3735.33,groceries,north
366,2346.97,electronics,south
367,3773.22,clothing,west
368,4836.68,sports,east
369,460.61,furniture,north
370,1329.65,electronics,west
371,1849.24,groceries,central
372,1911.32,groceries,north
373,3377.43,furniture,north
374,3101.54,sports,east
375,4577.13,clothing,north
376,3180.67,furniture,east
377,3249.7,electronics,south
378,236.28,electronics,east
379,4979.68,electronics,north
380,1181.65,sports,south
381,1949.34,groceries,central
382,2101.44,clothing,west
383,3278.06,furniture,central
384,2046.5,groceries,north
385,3454.5,clothing,west
386,2229.03,clothing,east
387,505.78,groceries,central
388,4509.46,groceries,north
389,1996.72,clothing,north
390,4745.56,furniture,north
391,3317.22,sports,north
392,262.39,groceries,south
393,4944.22,sports,south
394,352.36,sports,south
395,2936.05,clothing,east
396,3874.1,sports,north
397,1393.6,clothing,south
398,2705.68,clothing,north
399,3308.68,electronics,south
400,84.15,clothing,central
401,1625.62,clothing,east
402,271.47,furniture,central
403,577.11,electronics,west
404,2246.89,groceries,central
405,2972.39,furniture,central
406,1115.53,sports,north
407,3638.94,sports,east
408,2295.63,electronics,north
409,4992.95,furniture,west
410,3433.63,furniture,west
411,376.72,electronics,east
412,3045.4,electronics,south
413,1382.33,sports,central
414,3563.64,furniture,central
415,2657.48,furniture,central
416,3031.08,electronics,north
417,4265.44,sports,south
418,2156.05,clothing,west
419,1701.27,furniture,west
420,2085.79,electronics,east
421,2139.55,groceries,east
422,4768.43,furniture,north
423,465.21,electronics,north
424,2165.06,groceries,south
425,2786.29,sports,central
426,2812.8,electronics,west
427,1774.45,furniture,north
428,4842.31,sports,east
429,1764.71,sports,central
430,1071.57,furniture,south
431,4237.9,groceries,central
432,1844.13,groceries,central
433,1138.53,furniture,central
434,4872.99,sports,central
435,3378.13,sports,north
436,3048.88,groceries,north
437,910.28,groceries,east
438,1761.61,clothing,south
439,2835.94,furniture,north
440,717.95,electronics,north
441,3733.1,clothing,west
442,2104.96,groceries,south
443,1856.56,groceries,central
444,2985.16,electronics,south
445,795.48,sports,north
446,3373.1,groceries,west
447,3313.07,furniture,central
448,2215.8,groceries,south
449,3777.17,electronics,east
450,2155.27,groceries,central
451,2438.3,groceries,north
452,1110.39,sports,north
453,48.36,groceries,south
454,3839.07,groceries,east
455,1647.33,electronics,west
456,3737.6,clothing,south
457,1907.24,clothing,central
458,2798.03,groceries,north
459,1991.39,electronics,west
460,103.52,electronics,east
461,2883.04,sports,west
462,3550.4,furniture,east
463,584.72,electronics,east
464,867.65,sports,west
465,4161.81,groceries,north
466,2189.19,electronics,south
467,2184.03,furniture,central
468,402.45,groceries,east
469,1115.64,clothing,north
470,2557.31,electronics,central
471,2554.66,groceries,east
472,3639.62,clothing,south
473,522.99,groceries,south
474,875.76,clothing,north
475,893.96,furniture,west
476,3774.68,sports,west
477,3408.86,sports,central
478,1622.81,groceries,south
479,2204.42,furniture,west
480,3160.61,groceries,central
481,290.3,sports,north
482,1558.94,furniture,north
483,293.88,groceries,north
484,3226.89,electronics,central
485,2974.46,furniture,west
486,2905.84,electronics,west
487,4546.16,sports,south
488,1614.42,furniture,central
489,762.8,electronics,west
490,526.47,groceries,north
491,2527.7,clothing,north
492,1246.24,furniture,west
493,2625.1,sports,south
494,1825.85,groceries,west
495,2049.76,groceries,central
496,271.3,groceries,north
497,1655.16,sports,west
498,1427.89,sports,south
499,1673.48,sports,south
500,4584.56,groceries,west
501,653.47,electronics,east
502,2799.02,groceries,south
503,3353.88,sports,north
504,3233.66,furniture,central
505,1815.52,groceries,east
506,909.51,clothing,east
507,4738.86,furniture,south
508,1140.45,clothing,south
509,395.05,electronics,central
510,3856.66,sports,north
511,3313.03,sports,south
512,2990.26,clothing,south
513,912.42,sports,south
514,3608.7,electronics,west
515,1827.85,clothing,west
516,3056.87,furniture,south
517,2674.72,groceries,west
518,4520.83,clothing,east
519,3394.75,sports,west
520,2313.78,groceries,west
521,2519.5,furniture,south
522,4086.29,sports,south
523,4366.28,electronics,west
524,4371.84,sports,north
525,3559.89,sports,north
526,1432.46,clothing,east
527,2252.1,sports,south
528,4156.92,electronics,south
529,4085.35,groceries,north
530,2080.34,furniture,central
531,1876.07,furniture,north
532,1880.81,electronics,east
533,4654.82,groceries,south
534,696.62,groceries,west
535,3483.4,clothing,west
536,2248.52,electronics,north
537,104.83,clothing,south
538,2748.53,sports,central
539,2122.04,groceries,south
540,1512.74,electronics,south
541,2104.93,sports,west
542,323.41,furniture,central
543,2684.91,sports,central
544,1217.27,clothing,east
545,2151.9,sports,east
546,1210.42,furniture,south
547,3325.21,electronics,central
548,4873.53,electronics,central
549,2724.97,sports,central
550,111.47,furniture,north
551,3182.0,groceries,east
552,3739.11,groceries,north
553,1730.56,electronics,central
554,3678.58,groceries,south
555,231.24,sports,east
556,4069.41,clothing,west
557,4904.29,furniture,south
558,4059.37,electronics,west
559,194.55,clothing,north
560,3957.63,electronics,east
561,4667.52,sports,west
562,4945.72,sports,west
563,1274.04,clothing,east
564,1791.3,electronics,east
565,1373.35,groceries,west
566,4448.54,furniture,west
567,1701.79,clothing,west
568,3463.42,groceries,central
569,1340.94,electronics,west
570,403.85,sports,south
571,2731.92,groceries,north
572,409.54,groceries,east
573,2235.12,furniture,south
574,3451.93,groceries,west
575,221.35,groceries,central
576,4990.77,groceries,north
577,384.46,furniture,east
578,2570.3,clothing,north
579,722.47,sports,west
580,183.65,electronics,south
581,3894.79,groceries,east
582,1920.44,sports,north
583,3029.42,furniture,east
584,1866.35,electronics,central
585,697.1,groceries,west
586,1578.78,groceries,south
587,4803.0,electronics,south
588,2500.23,furniture,central
589,597.63,groceries,west
590,1080.71,sports,east
591,3472.96,furniture,south
592,621.96,electronics,west
593,871.56,furniture,north
594,4054.46,groceries,east
595,3550.61,sports,central
596,1458.91,groceries,south
597,3561.93,clothing,east
598,2548.69,electronics,south
599,3962.41,clothing,west
600,141.16,sports,central
601,1850.87,sports,south
602,3063.62,electronics,north
603,1553.36,furniture,central
604,2059.87,furniture,central
605,378.02,groceries,north
606,2255.37,sports,east
607,650.39,sports,central
608,918.0,clothing,west
609,2519.29,electronics,north
610,2595.33,groceries,south
611,818.22,clothing,east
612,4737.94,sports,east
613,4231.21,groceries,south
614,3178.93,sports,east
615,634.6,groceries,central
616,2672.06,sports,south
617,2963.12,sports,south
618,864.29,sports,central
619,1694.72,sports,north
620,4127.93,electronics,north
621,236.85,sports,east
622,3259.14,sports,west
623,3094.36,electronics,west
624,4446.09,sports,east
625,3213.12,groceries,west
626,1231.94,furniture,east
627,2273.19,electronics,south
628,2203.63,furniture,west
629,1028.07,sports,south
630,1569.79,groceries,east
631,4877.12,clothing,east
632,2579.75,electronics,east
633,1216.27,electronics,east
634,2253.48,clothing,north
635,262.52,furniture,central
636,2096.49,clothing,east
637,4669.42,groceries,south
638,3817.98,furniture,central
639,2339.41,groceries,west
640,125.65,furniture,central
641,2291.58,clothing,south
642,2920.89,electronics,north
643,1413.97,sports,west
644,1435.88,electronics,north
645,2160.33,groceries,east
646,3821.65,groceries,north
647,2008.9,sports,central
648,981.33,sports,east
649,376.92,sports,west
650,3824.38,groceries,central
651,3405.19,electronics,south
652,4875.66,furniture,east
653,3976.54,groceries,central
654,4695.35,clothing,south
655,3016.29,furniture,central
656,210.87,electronics,south
657,3570.82,furniture,central
658,2290.37,sports,central
659,707.51,sports,east
660,820.89,sports,east
661,2972.69,sports,central
662,2666.38,sports,east
663,2379.71,electronics,east
664,1662.89,electronics,west
665,2922.67,electronics,central
666,2378.21,sports,central
667,1145.44,electronics,central
668,2407.44,sports,central
669,3875.28,furniture,south
670,4110.09,clothing,north
671,2867.13,electronics,south
672,104.5,groceries,west
673,765.64,clothing,west
674,2514.08,sports,west
675,4365.36,electronics,south
676,2598.23,sports,east
677,4990.63,furniture,central
678,1890.36,clothing,west
679,4561.5,groceries,central
680,1777.89,groceries,central
681,2426.06,clothing,east
682,2794.85,clothing,east
683,3858.16,clothing,west
684,1592.03,groceries,central
685,4669.16,groceries,east
686,618.15,sports,west
687,4479.84,furniture,east
688,4773.5,clothing,east
689,219.91,electronics,east
690,4620.81,groceries,west
691,1077.79,sports,east
692,4665.79,groceries,south
693,555.04,sports,south
694,1219.87,sports,south
695,3193.34,electronics,north
696,2072.37,furniture,north
697,3409.15,clothing,north
698,4822.95,clothing,west
699,3267.94,furniture,west
700,3256.19,groceries,east
701,1434.22,electronics,north
702,3264.97,clothing,central
703,3696.05,electronics,south
704,2095.25,clothing,north
705,4985.89,furniture,west
706,939.7,groceries,north
707,56.24,sports,central
708,545.43,groceries,east
709,2277.2,sports,central
710,2474.62,clothing,central
711,2345.42,clothing,north
712,1660.11,furniture,east
713,3595.8,electronics,east
714,3955.93,sports,south
715,885.72,furniture,west
716,2581.25,electronics,west
717,3349.59,clothing,south
718,2392.5,clothing,north
719,1311.32,clothing,west
720,3771.25,groceries,east
721,2916.48,sports,north
722,1315.15,groceries,south
723,320.0,electronics,west
724,1540.96,furniture,central
725,4616.3,groceries,north
726,3197.17,groceries,east
727,3076.98,clothing,south
728,2396.13,furniture,central
729,1874.39,sports,west
730,3789.18,clothing,south
731,3404.91,sports,north
732,2632.28,sports,east
733,399.73,sports,north
734,318.17,sports,central
735,1018.76,sports,south
736,831.04,sports,west
737,590.04,clothing,central
738,2449.25,sports,west
739,4045.37,furniture,south
740,2571.11,furniture,central
741,298.11,furniture,east
742,3619.17,furniture,east
743,4084.1,clothing,central
744,374.42,furniture,east
745,3504.92,sports,north
746,4673.57,electronics,west
747,168.36,furniture,south
748,3847.17,furniture,east
749,4964.35,furniture,west
750,4349.41,furniture,west
751,410.45,sports,south
752,3271.14,groceries,north
753,900.58,sports,west
754,2648.92,clothing,north
755,3783.34,groceries,west
756,3370.76,sports,west
757,2664.35,clothing,south
758,2308.52,clothing,east
759,950.52,electronics,north
760,4049.3,furniture,central
761,3832.61,electronics,south
762,1038.35,electronics,central
763,177.55,sports,north
764,1231.22,electronics,west
765,2200.42,sports,south
766,3774.38,electronics,south
767,2524.44,groceries,south
768,4080.77,sports,east
769,2891.6,groceries,south
770,1515.8,clothing,central
771,1113.0,groceries,east
772,314.18,sports,south
773,3133.71,furniture,central
774,2483.15,groceries,west
775,3931.16,groceries,west
776,2047.21,groceries,west
777,927.56,sports,west
778,1212.43,clothing,east
779,4289.13,clothing,west
780,4574.56,sports,west
781,4839.25,sports,central
782,679.12,clothing,east
783,1024.65,electronics,west
784,4237.2,electronics,central
785,3625.68,clothing,north
786,1349.62,sports,central
787,207.34,electronics,south
788,4025.21,sports,central
789,1092.91,clothing,east
790,1522.91,electronics,south
791,4686.43,electronics,west
792,4573.06,sports,south
793,1989.19,clothing,central
794,1614.86,groceries,west
795,2336.59,groceries,east
796,1315.19,sports,west
797,2335.36,furniture,east
798,4572.51,groceries,east
799,2075.51,sports,south
800,3708.85,electronics,east
801,2771.02,sports,central
802,3602.86,groceries,south
803,989.0,clothing,west
804,2853.25,clothing,west
805,2757.71,groceries,east
806,3819.17,furniture,west
807,2309.54,groceries,south
808,708.39,sports,west
809,928.4,sports,north
810,2624.48,electronics,north
811,3824.05,furniture,south
812,4214.3,clothing,north
813,3538.78,electronics,south
814,2533.61,groceries,north
815,3093.0,sports,west
816,3299.83,electronics,north
817,2665.74,furniture,north
818,93.46,groceries,central
819,4887.62,electronics,central
820,4067.65,furniture,south
821,544.01,electronics,central
822,753.0,clothing,central
823,2637.02,groceries,east
824,3976.73,electronics,east
825,4796.9,furniture,central
826,1223.61,clothing,east
827,3423.37,electronics,north
828,476.57,furniture,west
829,2767.98,electronics,north
830,3517.2,electronics,west
831,4228.2,groceries,central
832,4886.87,electronics,central
833,4596.57,clothing,south
834,4507.35,sports,west
835,1362.76,electronics,east
836,4497.57,sports,north
837,904.98,groceries,north
838,4807.73,sports,south
839,3763.75,furniture,north
840,1503.39,sports,south
841,2837.81,furniture,central
842,1665.33,clothing,north
843,2508.96,groceries,north
844,497.45,clothing,north
845,1709.56,sports,central
846,1989.55,groceries,north
847,3174.27,furniture,west
848,1148.41,sports,west
849,2164.92,sports,west
850,437.61,sports,east
851,3992.3,electronics,north
852,1347.18,furniture,south
853,3700.88,groceries,east
854,541.69,electronics,east
855,2229.23,groceries,north
856,671.21,clothing,west
857,2249.73,sports,central
858,2046.14,electronics,north
859,1776.03,electronics,central
860,2994.24,groceries,west
861,71.58,furniture,west
862,3898.05,sports,south
863,2864.08,clothing,west
864,855.81,groceries,east
865,1349.35,clothing,north
866,844.36,groceries,west
867,1505.76,electronics,east
868,1265.98,clothing,west
869,2973.09,clothing,west
870,543.79,groceries,north
871,4744.63,groceries,central
872,1905.65,groceries,west
873,1680.33,sports,south
874,1509.17,sports,south
875,2400.26,clothing,west
876,4843.94,groceries,west
877,4839.14,clothing,east
878,1886.52,furniture,east
879,578.3,sports,south
880,2965.21,sports,south
881,3411.75,sports,north
882,4765.49,furniture,south
883,2197.89,groceries,north
884,4096.64,furniture,west
885,704.5,groceries,south
886,1270.88,clothing,west
887,3947.49,electronics,west
888,4953.6,furniture,central
889,2010.02,sports,west
890,2722.79,groceries,central
891,2973.16,electronics,north
892,3847.08,groceries,south
893,3238.53,electronics,central
894,4918.2,furniture,east
895,4828.93,furniture,north
896,62.63,groceries,south
897,2558.27,sports,central
898,2906.79,sports,south
899,2234.43,furniture,west
900,3863.99,sports,central
901,762.22,electronics,west
902,531.7,furniture,north
903,589.19,clothing,east
904,1566.33,furniture,south
905,2610.36,groceries,west
906,497.14,furniture,east
907,345.2,electronics,north
908,122.7,groceries,north
909,3388.93,clothing,south
910,2584.81,sports,south
911,1661.64,furniture,west
912,1166.96,furniture,south
913,940.07,furniture,west
914,155.67,sports,south
915,2253.38,furniture,west
916,32.21,clothing,south
917,1398.94,electronics,central
918,517.74,sports,south
919,1835.31,clothing,west
920,578.64,furniture,central
921,4829.92,groceries,central
922,1949.31,furniture,central
923,580.02,groceries,west
924,3090.64,groceries,central
925,2954.94,clothing,east
926,598.13,groceries,north
927,923.39,clothing,central
928,1948.43,sports,south
929,2878.28,furniture,south
930,2438.48,sports,south
931,2779.01,furniture,east
932,710.08,groceries,west
933,3100.86,groceries,north
934,2428.2,clothing,west
935,4819.51,sports,west
936,2051.58,furniture,west
937,3553.61,furniture,west
938,844.59,sports,north
939,3981.45,clothing,east
940,173.15,clothing,central
941,1450.46,furniture,central
942,3715.17,furniture,central
943,2558.92,sports,north
944,1346.77,sports,east
945,2714.8,electronics,west
946,2736.3,furniture,north
947,3682.58,clothing,east
948,4375.3,electronics,west
949,1321.45,electronics,west
950,4327.8,electronics,south
951,1057.29,sports,east
952,4306.63,sports,west
953,838.25,clothing,south
954,4069.51,electronics,central
955,1760.57,groceries,central
956,2698.46,groceries,east
957,1453.77,groceries,central
958,4927.59,electronics,south
959,4814.23,furniture,north
960,4962.51,clothing,south
961,1255.89,groceries,south
962,3809.75,furniture,west
963,719.44,groceries,west
964,1882.11,electronics,north
965,2020.23,groceries,east
966,2278.93,furniture,east
967,2913.96,electronics,west
968,3177.85,groceries,north
969,3980.43,furniture,south
970,4840.96,clothing,west
971,1350.0,groceries,east
972,2741.08,clothing,central
973,4263.59,groceries,north
974,239.26,furniture,north
975,629.94,clothing,west
976,2288.03,furniture,south
977,4978.51,clothing,east
978,803.3,groceries,north
979,3276.39,groceries,north
980,1865.5,clothing,north
981,1987.74,groceries,south
982,2151.86,electronics,north
983,15.42,furniture,north
984,672.17,clothing,central
985,3403.11,electronics,north
986,3481.03,electronics,west
987,3473.21,furniture,north
988,1152.44,electronics,north
989,524.98,groceries,east
990,694.28,clothing,south
991,351.37,sports,north
992,3055.49,clothing,west
993,1762.43,clothing,south
994,4600.27,sports,west
995,4301.21,electronics,north
996,708.67,electronics,central
997,3652.75,groceries,west
998,1579.37,clothing,south
999,1392.07,electronics,south
1000,2771.45,sports,central
